what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1342786074982
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342786088207
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342786956659
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1342786958142
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342786966059
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342786978987
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342786983359
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342786983375
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342786983703
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342786995460
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342786997178
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342786997193
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342786997568
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342786998037
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1342787002128
opened,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1342787008826
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1342787008935
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342787013542
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342787013542
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342787013901
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342787030499
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1342787031795
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342787033231
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342787036292
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342787036432
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342787037369
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1342787037369
opened,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1342787045738
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1342787045832
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1342787055513
opened,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1342787060759
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1342787060978
closed,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1342787074828
closed,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1342787074859
closed,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1342787074875
closed,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1342787074890
closed,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1342787074906
closed,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1342787074921
closed,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1342787074937
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1342787177554
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342787180818
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342787180849
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342787180958
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342787192122
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1342787199992
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1342787206862
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1342787223226
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1342787231377
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1342787240808
closed,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1342787240808
opened,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1342787245898
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1342787245976
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1342787267180
closed,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1342787267180
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342787271537
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342787292819
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1342787294037
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1342787294224
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342787298175
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342788144766
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1342788147046
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342788152230
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342788154447
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1342788154463
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1342788154463
opened,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1342788165768
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1342788165893
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1342788178649
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1342788180789
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342788189626
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342788189642
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342788195591
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342788202805
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1342788204757
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1342788206099
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.textEnd",1342788239124
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1342788241044
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1342788246306
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342788251865
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342788251881
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342788256518
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342788279565
