what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1342610699524
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342610703881
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342610703881
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342610705365
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342610751528
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342610815351
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342610824792
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342610835483
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342610835904
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342610836122
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342610837527
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1342610853024
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1342610871174
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1342610882020
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1342610882441
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1342610888044
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1342610891118
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1342610893740
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1342610896705
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1342610897657
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.AllMarkersView",1342610899936
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1342610901902
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.publish",1342610904149
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342610906662
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342610909346
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1342610909362
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342610929228
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342610964389
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342610997271
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342611198437
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1342611202415
opened,editor,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.editor",1342611204334
activated,editor,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.editor",1342611204444
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342611259769
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342611286496
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342611295389
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342611306373
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342611309930
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342611411670
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342611473153
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342611640409
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342611655385
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342611660113
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342611660113
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342611800766
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342611801062
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342611801093
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342611807645
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342611944413
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342611947034
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342611948438
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1342611948672
closed,editor,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.editor",1342611948672
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1342611952713
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342611958812
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342611997641
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342612077888
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342612078044
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342612932161
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342612933050
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342612934579
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342612940226
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342612962269
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342612962269
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342612962409
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342613038631
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1342613044497
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1342613075494
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342613080299
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342613080314
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342613080423
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342613106117
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342613122107
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342613133385
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1342613138986
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342613149157
